,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
12683,2020,"3,631,036,310",2,0,,4,1,101001,33667,4,2,17,8,13,"1,6",1,"4,11,1",1
12686,2020,"3,642,036,420",2,0,,2,0,144000,87000,4,2,22,9,13,"2,6",1,"1,8,5",3
12689,2020,35340,1,0,,2,0,200000,100000,4,2,53,6,13,1,1,2,1
12690,2020,36020,1,1,3,4,0,450000,112500,5,1,28,6,13,"1,6",1,2,3
12691,2020,35380,1,0,,2,0,150000,75000,5,1,48,6,13,"1,2",1,"2,8",1
12692,2020,35330,1,0,,2,0,200000,100000,4,2,25,6,13,1,1,2,3
12693,2020,35380,1,1,3,4,2,400000,100000,4,2,48,6,13,"1,6",1,2,1
12694,2020,35050,1,0,,2,0,153002,52334,4,2,43,10,13,1,1,8,3
12695,2020,34060,1,0,,3,0,126003,42001,4,2,25,10,13,2,1,2,3
12696,2020,36460,1,0,,4,0,287000,71750,5,2,62,10,13,2,1,"2,3",1
12697,2020,"3,631,036,310",2,1,11,2,1,295000,147500,5,1,29,7,13,"1,6",1,"2,4,8",3
12702,2020,36390,1,0,,3,0,144000,48000,3,2,51,8,13,"1,6",1,"14,8,11",1
12705,2020,35060,1,0,,3,1,150000,50000,4,1,36,12,13,"1,2",1,"2,4",1
12706,2020,"3,636,036,360",2,1,3,4,2,400000,100000,4,1,45,12,13,"1,2,6",1,2,1
12707,2020,35320,1,0,,2,0,150000,75000,4,1,55,12,13,"1,2",1,"2,1",1
12708,2020,"3,636,036,360",2,1,3,4,0,400000,100000,5,1,28,12,13,"1,2,6",1,"1,2",3
12709,2020,"350,103,538,035,380",3,"0,1",3,4,0,450000,112500,4,2,27,12,13,"1,2,6",1,"2,4",3
12712,2020,35370,1,1,12,2,0,68000,34000,4,1,62,1,13,"1,2,6",1,"8,4,5",1
12715,2020,"3,603,036,030",2,0,,3,0,171003,57001,4,1,18,2,13,"1,2,6,16",1,"4,14,1",1
12716,2020,"340,203,402,038,110",3,"0,0",,3,0,207999,69333,4,1,42,2,13,"1,4",1,"3,4,14",1
12718,2020,"3,505,035,050,364,000,000,000,000",5,"0,1",3,4,0,303000,75750,5,1,58,2,13,"1,6,16",1,"3,5,11",1
