,place_info,area,target
373,덕산산림욕장,인천광역시 강화군,"축제, 관광"
374,봉화산수도사,경상남도 창원시,"힐링, 호캉스"
375,대흥사,서울특별시 동대문구,"힐링, 호캉스"
376,일해수산,제주특별자치도 제주시,"식도락, 맛집투어"
377,초전몽돌해수욕장,경상남도 남해군,액티비티
378,천주사,경상북도 문경시,"힐링, 호캉스"
379,보정동카페거리,경기도 용인시,"식도락, 맛집투어"
380,행정저수지,충청남도 홍성군,"힐링, 호캉스"
381,구포상승문화회관,부산광역시 북구,"힐링, 호캉스"
382,보성향교,전라남도 보성군,"축제, 관광"
383,향교말,충청남도 예산군,"축제, 관광"
384,매림서원,경상북도 고령군,"축제, 관광"
385,부산서원,충청남도 부여군,"축제, 관광"
386,서원,경상북도 포항시,"축제, 관광"
387,금호서원,경상북도 청도군,"축제, 관광"
388,구산서원,경상북도 경주시,"축제, 관광"
389,다리안폭포,충청북도 단양군,액티비티
390,독주폭포,강원도 양양군,액티비티
391,시명폭포,경상북도 포항시,액티비티
392,제2폭포,경상북도 청도군,액티비티
393,아산관광단지,충청남도 아산시,"축제, 관광"
394,양동제,전라남도 보성군,"힐링, 호캉스"
395,삼천사계곡,서울특별시 은평구,액티비티
396,청계천판잣집테마존,서울특별시 성동구,"힐링, 호캉스"
397,와동사,경상남도 고성군,"힐링, 호캉스"
398,화담정사,경기도 양주시,"힐링, 호캉스"
399,석굴암전망대,경상북도 경주시,"힐링, 호캉스"
400,덕암계량사,경상남도 김해시,"힐링, 호캉스"
401,건어장해수욕장,인천광역시 옹진군,액티비티
402,송이등대,강원도 양양군,"힐링, 호캉스"
403,양촌자연휴양림,충청남도 논산시,"축제, 관광"
404,사문진주막촌,대구광역시 달성군,"힐링, 호캉스"
405,팥빙수골목,부산광역시 중구,"식도락, 맛집투어"
406,산림복합경영단지,충청북도 단양군,액티비티
407,연화사,부산광역시 동래구,"힐링, 호캉스"
408,허브아일랜드불빛동화축제,경기도 포천시,"축제, 관광"
409,화림선원,경기도 안산시,"힐링, 호캉스"
410,양평카페촌,경기도 양평군,"식도락, 맛집투어"
411,가마소계곡,전라북도 부안군,액티비티
412,현비암강수욕장,경상북도 청송군,"힐링, 호캉스"
413,미평산림욕장,전라남도 여수시,"축제, 관광"
414,영산법화사,경기도 양주시,"힐링, 호캉스"
415,초원의집,충청북도 괴산군,"힐링, 호캉스"
416,중앙로문화의거리,강원도 원주시,"식도락, 맛집투어"
417,금련사,부산광역시 수영구,"힐링, 호캉스"
418,예인공방,울산광역시 남구,"식도락, 맛집투어"
419,의선사,강원도 양구군,"힐링, 호캉스"
420,혜인정사,서울특별시 종로구,"힐링, 호캉스"
421,전통사,경기도 용인시,"힐링, 호캉스"
422,제화사,충청남도 천안시,"힐링, 호캉스"
423,목천사,충청남도 천안시,"힐링, 호캉스"
424,천룡사,경상북도 봉화군,"힐링, 호캉스"
425,구도선원,강원도 평창군,"힐링, 호캉스"
426,미륵사,경상북도 경산시,"힐링, 호캉스"
427,약사원,경상북도 포항시,"힐링, 호캉스"
428,청화선원,경상북도 영천시,"힐링, 호캉스"
429,명화사,충청남도 금산군,"힐링, 호캉스"
430,자은사,전라남도 완도군,"힐링, 호캉스"
431,천음사,경상남도 통영시,"힐링, 호캉스"
432,약천사,경상남도 사천시,"힐링, 호캉스"
433,일광사,전라남도 순천시,"힐링, 호캉스"
434,대흥사,경상남도 김해시,"힐링, 호캉스"
435,수성사,전라북도 완주군,"힐링, 호캉스"
436,제주도세계지질공원,제주특별자치도 제주시,액티비티
437,오천몽돌해변,전라남도 고흥군,액티비티
438,수원통닭거리,경기도 수원시,"식도락, 맛집투어"
439,웨딩의거리,전라북도 전주시,"식도락, 맛집투어"
440,더파크12글램핑,강원도 홍천군,액티비티
441,해동용궁사,울산광역시 동구,"힐링, 호캉스"
442,토요명품공연,서울특별시 서초구,"축제, 관광"
443,무예24기시범공연,경기도 수원시,"축제, 관광"
444,무량사,울산광역시 울주군,"힐링, 호캉스"
445,천년고찰선유암,경기도 안성시,"힐링, 호캉스"
446,곰섬갯벌체험마을,충청남도 태안군,"힐링, 호캉스"
447,성북생태체험관,서울특별시 성북구,"힐링, 호캉스"
448,장승마을빛축제,충청남도 공주시,"축제, 관광"
449,구룡암,전라북도 남원시,"힐링, 호캉스"
450,광불사,경기도 구리시,"힐링, 호캉스"
451,우수골농원,경상북도 영주시,"식도락, 맛집투어"
452,한림공원수선화축제,제주특별자치도 제주시,"축제, 관광"
453,모던태권도킥스,서울특별시 송파구,"축제, 관광"
454,홍천백두대간내면나물축제,강원도 홍천군,"축제, 관광"
455,전주대사습놀이전국대회,전라북도 전주시,"축제, 관광"
456,색깔있는나눔걷기대회,경기도 성남시,"축제, 관광"
457,르미에르오월드,대전광역시 중구,"축제, 관광"
458,인천여성영화제,인천광역시 미추홀구,"축제, 관광"
459,김해가야테마파크쿨섬머페스티벌,경상남도 김해시,"축제, 관광"
460,부천세계비보이대회,경기도 부천시,"축제, 관광"
461,부산록페스티벌,부산광역시 사상구,"축제, 관광"
462,쇠소깍축제,제주특별자치도 서귀포시,"축제, 관광"
463,부천소사복숭아축제,경기도 부천시,"축제, 관광"
464,동피랑벽화축제,경상남도 통영시,"축제, 관광"
465,수원정보과학축제,경기도 수원시,"축제, 관광"
466,영천전통문화체험관,경상북도 영천시,"힐링, 호캉스"
467,불고기팜농어촌테마공원,울산광역시 울주군,액티비티
468,흑돼지관람부부네,제주특별자치도 서귀포시,"힐링, 호캉스"
469,광제사,강원도 횡성군,"힐링, 호캉스"
470,강릉바우길,강원도 강릉시,"힐링, 호캉스"
471,대관령황태덕장마을,강원도 평창군,"힐링, 호캉스"
472,금상처마,경기도 용인시,"힐링, 호캉스"
473,서울둘레길2코스용마아차산,서울특별시 광진구,"힐링, 호캉스"
474,계남해수욕장,인천광역시 옹진군,액티비티
475,서검리마을앞해변,인천광역시 강화군,액티비티
476,종달리해변,제주특별자치도 제주시,액티비티
477,아름다운고택,경상북도 안동시,"힐링, 호캉스"
478,홍천강문화예술학교,강원도 홍천군,액티비티
479,무궁화테마공원,세종특별자치시 세종특별자치시,액티비티
480,무량정사,경기도 남양주시,"힐링, 호캉스"
481,용천사,경기도 용인시,"힐링, 호캉스"
482,천존천국사,경기도 광명시,"힐링, 호캉스"
483,용화정사,대전광역시 동구,"힐링, 호캉스"
